"recordID","DatasetID","DatasetName","institutionID","Institution","collectionID","Collection","license","catalogNumber","TaxonConceptID","Scientific Name - original","vernacular name - original","scientificName","taxonRank","vernacularName","kingdom","phylum","Class","order","family","genus","Species","institutionCode","collectionCode","locality","Latitude - original","Longitude - original","geodetic datum - original","decimalLatitude","decimalLongitude","coordinateUncertaintyInMetres","country","stateProvince","minimumElevationInMeters","maximumElevationInMeters","minimumDepthIn meters","maximumDepthInMeters","individualCount","year","month","basisOfRecord","Basis Of Record - original","occurrenceStatus","sex","Taxonomic Quality","Location Quality","Event Date - parsed","country","identified _ by","Occurrence status assumed to be present","Coordinates are out of range for species","First of the month","First of the year","Geodetic datum assumed WGS84","Identification date before occurrence date","Incomplete collection date","Invalid collection date","Name not in national checklists","Collector name unparseable"
"dbd800a1-3ce6-4a75-9e0f-2c5df6e85cf5","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_293","180548","Amerotyphlops reticulatus","","Amerotyphlops reticulatus","species","","Animalia","Chordata","Reptilia","Squamata","Typhlopidae","Amerotyphlops","Amerotyphlops reticulatus","FMT-HVD","ANIME","UHE Pitinga","-8.56680","-59.05966","","-8.5668","-59.05966","","Brasil","Amazonas","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","Pedro Bisneto","true","false","false","false","true","false","true","true","true","false"
"da19ce31-99ef-460d-b895-eb1462d1a82e","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_171","116807","Atractus","","Atractus","genus","","Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Atractus","","FMT-HVD","ANIME","EMBRAPA, AM-010 km 28","-2.89357","-59.9733","","-2.89357","-59.9733","","Brasil","Amazonas","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","","true","false","false","false","true","false","true","true","true","false"
"d9c1e1c8-c06c-41d3-a6c6-ba961cf675e3","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_271","212428","Erythrolamprus aesculapii","","Erythrolamprus aesculapii","species","","Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Erythrolamprus","Erythrolamprus aesculapii","FMT-HVD","ANIME","AM 010 Km 35 - Água Branca","-2.997581","-60.31181","","-2.997581","-60.31181","","Brasil","Amazonas","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","G.S. Masseli","true","false","false","false","true","false","true","true","true","false"
"cdec2db2-f558-4346-ae58-dbf368e764a0","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_235","246545","Leptomicrurus collaris","","Leptomicrurus collaris","species","","Animalia","Chordata","Reptilia","Squamata","Elapidae","Leptomicrurus","Leptomicrurus collaris","FMT-HVD","ANIME","Reserva ZF -2 (INPA)","-3.09477","-59.9891","","-3.09477","-59.9891","","Brasil","Amazonas","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","M. Martins","true","false","false","false","true","false","true","true","true","false"
"c7e66fee-d959-4b88-b974-3b1164cb1a58","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_20","183338","Crotalus durissus ruruima","","Crotalus durissus ruruima","subspecies","","Animalia","Chordata","Reptilia","Squamata","Viperidae","Crotalus","Crotalus durissus","FMT-HVD","ANIME","Fazenda Monte Cristo","2884485","-60.09672","","2884485.0","-60.09672","","","","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","false","","","M.E. Oliveira","true","true","false","false","true","false","true","true","true","false"
"c5634d90-3156-417e-a69c-9a5f6abf94b4","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_501","213912","Typhlophis squamosus","","Typhlophis squamosus","species","","Animalia","Chordata","Reptilia","Squamata","Anomalepididae","Typhlophis","Typhlophis squamosus","FMT-HVD","ANIME","Rio Urucu - próximo  IMT -1","-4.615509","-64.24310","","-4.615509","-64.2431","","Brasil","Amazonas","","","","","","1996","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","G.S. Masseli","true","false","false","false","true","false","true","false","true","false"
"b41ce3dc-6887-41a9-b326-ba49cee2bdf2","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_113","246558","Micrurus lemniscatus","","Micrurus lemniscatus","species","","Animalia","Chordata","Reptilia","Squamata","Elapidae","Micrurus","Micrurus lemniscatus","FMT-HVD","ANIME","UHE Balbina","-1.916804","-59.75789","","-1.916804","-59.75789","","Brasil","Amazonas","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","Pedro Bisneto","true","false","false","false","true","false","true","true","true","false"
"b1e375b7-a98d-4c33-8a69-1a871ee912c2","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_285","212427","Oxyrhopus melanogenys","","Oxyrhopus melanogenys","species","","Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Oxyrhopus","Oxyrhopus melanogenys","FMT-HVD","ANIME","UHE Pitinga","-8.56680","-59.05966","","-8.5668","-59.05966","","Brasil","Amazonas","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","M. Martins","true","false","false","false","true","false","true","true","true","false"
"af61aefe-dfc3-45c5-87e8-066b665f5016","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_195","152294","Bothrops atrox","","Bothrops atrox","species","","Animalia","Chordata","Reptilia","Squamata","Viperidae","Bothrops","Bothrops atrox","FMT-HVD","ANIME","Porto das balsas da Petrobras","-3.14079","-60.0233","","-3.14079","-60.0233","","Brasil","Amazonas","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","A.M. Picelli","true","false","false","false","true","false","true","true","true","false"
"aa75fb32-fbe8-48f2-8af2-31aa7bb2d584","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_428","174470","Corallus caninus","","Corallus caninus","species","","Animalia","Chordata","Reptilia","Squamata","Boidae","Corallus","Corallus caninus","FMT-HVD","ANIME","R. A. Ducke","-2.963130","-59.22822","","-2.96313","-59.22822","","Brasil","Amazonas","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","M. Martins; M. E. Oliveira","true","false","false","false","true","false","true","true","true","false"
