"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr478","Base de dados de Aves do MZUSP","","Records provided by Base de dados de Aves do MZUSP, accessed through ALA website.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr478","","","","72066"
"co195","Coleção de Aves do MZUSP","","Records provided by Coleção de Aves do MZUSP, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co195","","","","72066"
"in36","Museu de Zoologia de São Paulo","","Records provided by Museu de Zoologia de São Paulo, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in36","","","","72066"
